# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/ezra","ezra-10-44",69828899,"petuchah",3513,"פ"
"tanakh/genesis","genesis-5-8",69830247,"setumah",1348,"ס"
"tanakh/genesis","genesis-5-20",69830366,"setumah",1467,"ס"
"tanakh/genesis","genesis-5-31",69830480,"setumah",1581,"ס"
"tanakh/genesis","genesis-9-29",69831583,"petuchah",2684,"פ"
"tanakh/genesis","genesis-11-11",69831949,"setumah",3050,"ס"
"tanakh/genesis","genesis-11-15",69831989,"setumah",3090,"ס"
"tanakh/genesis","genesis-15-21",69833101,"setumah",4202,"ס"
"tanakh/genesis","genesis-39-23",69842380,"petuchah",13481,"פ"
"tanakh/genesis","genesis-49-18",69846215,"setumah",17316,"ס"
"tanakh/habakkuk","habakkuk-1-17",69846889,"setumah",183,"ס"
"tanakh/habakkuk","habakkuk-2-4",69846933,"setumah",227,"ס"
"tanakh/habakkuk","habakkuk-2-8",69846993,"petuchah",287,"פ"
"tanakh/habakkuk","habakkuk-2-11",69847017,"petuchah",311,"פ"
"tanakh/habakkuk","habakkuk-2-14",69847045,"petuchah",339,"פ"
"tanakh/habakkuk","habakkuk-2-18",69847098,"setumah",392,"ס"
"tanakh/habakkuk","habakkuk-2-20",69847121,"setumah",415,"ס"
"tanakh/habakkuk","habakkuk-3-13",69847254,"petuchah",548,"פ"
"tanakh/hosea","hosea-2-15",69848129,"setumah",309,"ס"
"tanakh/hosea","hosea-2-22",69848200,"petuchah",380,"פ"
"tanakh/hosea","hosea-2-25",69848231,"petuchah",411,"פ"
"tanakh/hosea","hosea-3-5",69848306,"petuchah",486,"פ"
"tanakh/hosea","hosea-4-19",69848496,"petuchah",676,"פ"
"tanakh/hosea","hosea-5-7",69848572,"setumah",752,"ס"
"tanakh/hosea","hosea-6-11",69848753,"petuchah",933,"פ"
"tanakh/hosea","hosea-7-12",69848876,"setumah",1056,"ס"
"tanakh/hosea","hosea-8-14",69849063,"petuchah",1243,"פ"
"tanakh/hosea","hosea-9-9",69849165,"setumah",1345,"ס"
"tanakh/hosea","hosea-9-17",69849252,"setumah",1432,"ס"
