normalized,surface,occurrence_count,work_count,families,current_match,route_status,candidate_route_count,match_families,candidate_source,license_lane,display_eligible,hud_inspectable,prehud_allowed,blocker,top_works
דכתיב,דכתיב,20674,247,chasidut; halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,46,citable_paraphrase_evidence; source_phrase_evidence; project_lexical,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,zohar-chadash:1186; ohr-hachammah-on-zohar:1163; sefat-emet:909; sefer-yereim:750; haamek-sheilah-on-sheiltot-drav-achai-gaon:722
ולככ,ולכך,20406,143,halakhah; kabbalah; musar,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,urim-vetumim-tumim:3304; ohr-hachammah-on-zohar:2146; yaarot-devash-i:1386; yaarot-devash-ii:1283; chokhmat-shlomo-on-shulchan-arukh-orach-chayim:865
דכיונ,דכיון,20329,296,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:3287; arukh-hashulchan:2699; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:639; drisha:575; even-haazel-on-mishneh-torah-damages-to-property:507
פטור,פטור,19825,264,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,51,citable_paraphrase_evidence; wiktionary_definition; source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:2054; minchat-chinukh:1942; beit-yosef:1632; even-haazel-on-mishneh-torah-damages-to-property:812; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:617
כתיב,כתיב,19547,203,chasidut; kabbalah; musar,unresolved_lexical_row,hud_evidence_only_or_source_review,47,citable_paraphrase_evidence; source_phrase_evidence; project_lexical; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,ohr-hachammah-on-zohar:1634; sefat-emet:1441; peri-tzadik:1073; shenei-luchot-haberit:1072; beit-aharon:615
רבי,רבי,19488,229,halakhah; kabbalah; musar,unresolved_lexical_row,hud_evidence_only_or_source_review,48,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition; project_lexical,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:2456; halakhot-gedolot:1612; zohar-chadash:1183; shenei-luchot-haberit:915; ketem-paz-on-zohar:792
דכל,דכל,19463,241,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:2519; beit-yosef:2106; minchat-chinukh:776; urim-vetumim-tumim:593; drisha:581
ז׳,ז׳,19180,248,chasidut; halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,46,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,ohr-hachammah-on-zohar:1364; beit-yosef:1203; peri-megadim-on-orach-chayim:1144; peri-tzadik:689; mikdash-melekh-on-zohar:551
הטור,הטור,19057,80,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,14,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,meirat-einayim-on-shulchan-arukh-choshen-mishpat:2938; arukh-hashulchan:2886; turei-zahav-on-shulchan-arukh-yoreh-deah:1154; turei-zahav-on-shulchan-arukh-orach-chayim:1050; urim-vetumim-tumim:869
יתברכ,יתברך,18933,100,chasidut,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,kedushat-levi:1808; meor-einayim:1216; likutei-moharan:1074; likkutei-maamarim:1003; resisei-layla:976
