work_id,units,parsed_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"halakhah-expansion/kesher-gudal",25,25,0,"VARIANT_A_DOUBLED",25,0,"FULLY_PARSED"
"halakhah-expansion/kitzur-sefer-haredim-of-rabbi-elazar-azcari",1,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED"
"halakhah-expansion/kitzur-shulchan-arukh",221,221,0,"VARIANT_A_DOUBLED",221,0,"FULLY_PARSED"
"halakhah-expansion/kol-bo",148,148,0,"VARIANT_A_DOUBLED",148,0,"FULLY_PARSED"
"halakhah-expansion/leket-yosher",98,0,98,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/likkutei-hapardes",17,0,17,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/machzor-vitry",958,0,958,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/mateh-efrayim",4,0,4,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/minchat-chinukh",1356,0,1356,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/moreh-beetzba",331,331,0,"VARIANT_A_DOUBLED",331,0,"FULLY_PARSED"
"halakhah-expansion/peninei-halakhah-berakhot",230,0,230,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-days-of-awe",134,0,134,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-family",177,0,177,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-family-purity",120,0,120,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-festivals",138,0,138,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-kashrut",401,0,401,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-likkutim-i",145,0,145,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-likkutim-ii",216,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-pesach",162,0,162,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-prayer",236,0,236,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-shabbat",373,0,373,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-shemitah-and-yovel",120,0,120,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-simchat-habayit-u-virkhato",130,0,130,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-sukkot",88,0,88,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-the-nation-and-the-land",140,0,140,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-women-s-prayer",206,0,206,"",0,0,"UNPARSED_TYPED"
