work,family,units,sites,P1,P2,P3,B,IW,class,example
tosefta/tosefta-menachot,tosefta,112,52,0,7,41,4,0,P3,"tosefta-menachot-1-7 w118"
tosefta/tosefta-mikvaot,tosefta,53,15,0,5,2,8,0,MIXED_B,"tosefta-mikvaot-1-4 w28"
tosefta/tosefta-nazir,tosefta,50,133,0,1,4,128,0,B,"tosefta-nazir-1-1 w15"
tosefta/tosefta-negaim,tosefta,98,16,0,1,14,1,0,P3,"tosefta-negaim-1-1 w110"
tosefta/tosefta-oholot,tosefta,145,2,0,1,1,0,0,MIXED_P2,"tosefta-oholot-13-7 w70"
tosefta/tosefta-peah,tosefta,80,64,0,1,21,42,0,MIXED_B,"tosefta-peah-1-3 w26"
tosefta/tosefta-pesachim,tosefta,110,266,0,4,21,241,0,B,"tosefta-pesachim-1-1 w30"
tosefta/tosefta-rosh-hashanah,tosefta,31,80,0,2,21,57,0,B,"tosefta-rosh-hashanah-1-1 w5"
tosefta/tosefta-sanhedrin,tosefta,67,145,0,19,120,6,0,P3,"tosefta-sanhedrin-1-3 w34"
tosefta/tosefta-shabbat,tosefta,233,370,0,2,37,331,0,B,"tosefta-shabbat-1-2 w3"
tosefta/tosefta-shekalim,tosefta,43,67,0,2,14,51,0,B,"tosefta-shekalim-1-1 w12"
tosefta/tosefta-sheviit,tosefta,120,62,0,1,6,55,0,B,"tosefta-sheviit-1-2 w53"
tosefta/tosefta-shevuot,tosefta,37,30,0,4,22,4,0,P3,"tosefta-shevuot-1-2 w38"
tosefta/tosefta-sotah,tosefta,101,647,0,76,236,335,0,MIXED_B,"tosefta-sotah-1-1 w26"
tosefta/tosefta-sukkah,tosefta,42,95,0,7,20,68,0,B,"tosefta-sukkah-1-1 w26"
tosefta/tosefta-taanit,tosefta,35,86,0,3,27,56,0,MIXED_B,"tosefta-taanit-1-1 w15"
tosefta/tosefta-temurah,tosefta,29,7,0,1,6,0,0,P3,"tosefta-temurah-1-4 w25"
tosefta/tosefta-yevamot,tosefta,103,185,0,2,15,168,0,B,"tosefta-yevamot-1-1 w67"
tosefta/tosefta-yoma,tosefta,61,162,0,7,44,111,0,B,"tosefta-yoma-1-1 w6"
tosefta/tosefta-zevachim,tosefta,94,39,0,4,15,20,0,MIXED_B,"tosefta-zevachim-1-1 w193"
