work_id,chunks,candidate_claim_links,unique_claims
shaar-hagilgulim,14,10318,4037
shaar-hahakdamot,10,7350,3246
shaar-hakavanot,11,8554,3572
shaar-hamitzvot,12,8707,3674
shaar-hapesukim,17,11505,4390
shaar-maamarei-rashbi,20,11471,4255
shaar-maamarei-razal,6,5467,2624
shaar-ruach-hakodesh,3,2432,1485
shaarei-kedusha,2,2548,1551
shaarei-orah,14,11313,4296
shaarei-teshuvah,12,12204,4077
shalom-aleichem,1,42,32
shekel-hakodesh,4,4108,2365
shenei-luchot-haberit,81,28019,6971
shevet-musar,36,19644,5996
shir-hashirim-rabbah,3,3599,1926
shivchei-habesht,11,8201,3633
siddur-edot-hamizrach,31,31868,5076
sifrei-aggadah-on-esther,7,6178,3189
sifrei-bamidbar,10,8589,3725
sifrei-devarim,14,10597,4457
sod-yesharim,33,18287,5665
song-of-songs,1,776,638
tanna-debei-eliyahu-rabbah,12,10453,4353
tanna-debei-eliyahu-zuta,9,7902,3574
targum-jerusalem,7,2595,1422
targum-jonathan-on-amos,2,563,425
targum-jonathan-on-deuteronomy,8,1927,1139
targum-jonathan-on-exodus,8,2128,1123
targum-jonathan-on-ezekiel,7,2192,1162
targum-jonathan-on-genesis,10,3022,1548
targum-jonathan-on-habakkuk,1,343,297
targum-jonathan-on-haggai,1,217,193
targum-jonathan-on-hosea,2,754,537
targum-jonathan-on-i-kings,5,1642,927
targum-jonathan-on-i-samuel,5,1784,1020
targum-jonathan-on-ii-kings,4,1624,949
targum-jonathan-on-ii-samuel,5,1713,946
targum-jonathan-on-isaiah,9,2919,1379
targum-jonathan-on-jeremiah,8,2479,1221
targum-jonathan-on-joel,1,405,319
targum-jonathan-on-jonah,1,236,214
targum-jonathan-on-joshua,4,1470,957
targum-jonathan-on-judges,4,1444,869
targum-jonathan-on-leviticus,5,1317,813
targum-jonathan-on-malachi,1,355,311
targum-jonathan-on-micah,2,476,352
targum-jonathan-on-nahum,1,312,269
